word,pronunciation,meaning,association
つゆ知らず,tsuyushirazu, no tiene ni idea.
嗚咽, oetsu, llorar aguantandose la voz.
喝采, kassai, aplauso aclamacion
指針, shishin, directrices pautas
実践, jissen, practica
踏む, fumu, trepitjar
貢献, kouken, contribucion
中座する, chuuza, levantarse del asiento e irse en medio de una reunion
概況, gaikyou, situacion general
特徴, tokuchou, caracteristica, クラウドサービスの特徴
動機づけ, doukiduke, motivacion
バリバリやる, baribari yaru, fer-ho dur
けなされる, kenasareru, ser criticado / subestimado
むやみに, muyamini, actuar sin pensar
かねがね, kanegane, desde hace tiempo
しくじる, shikujiru, fallar
丹念に, tannen ni, detalladamente | meticuloso
はかどる, hakadoru, desarollo favorable y suave
お手上げ, oteage, no hay nada que hacer
おもくるし, omokurushi, pesado | incomodo
色が焦る, irogaaseru, desvanecerse el color

